,file_name,n_masterflats,start_date,end_date,wave,time_bin,NEXP TOTAL
0,superflat_346nm_blue_2014-01-10_2015-04-07.fits,30,2014-01-10,2015-04-07,346.0,1,180
1,superflat_437nm_blue_2014-01-10_2015-04-07.fits,27,2014-01-10,2015-04-07,437.0,1,180
2,superflat_564nm_redl_2014-01-10_2015-04-07.fits,36,2014-01-10,2015-04-07,564.0,1,255
3,superflat_564nm_redu_2014-01-10_2015-04-07.fits,36,2014-01-10,2015-04-07,564.0,1,255
4,superflat_860nm_redu_2014-01-10_2015-04-07.fits,22,2014-01-10,2015-04-07,860.0,1,135
5,superflat_860nm_redl_2014-01-10_2015-04-07.fits,22,2014-01-10,2015-04-07,860.0,1,135
6,superflat_346nm_blue_2015-04-07_2015-11-26.fits,24,2015-04-07,2015-11-26,346.0,2,120
7,superflat_437nm_blue_2015-04-07_2015-11-26.fits,31,2015-04-07,2015-11-26,437.0,2,180
8,superflat_564nm_redl_2015-04-07_2015-11-26.fits,25,2015-04-07,2015-11-26,564.0,2,135
9,superflat_564nm_redu_2015-04-07_2015-11-26.fits,25,2015-04-07,2015-11-26,564.0,2,135
10,superflat_860nm_redu_2015-04-07_2015-11-26.fits,30,2015-04-07,2015-11-26,860.0,2,185
11,superflat_860nm_redl_2015-04-07_2015-11-26.fits,30,2015-04-07,2015-11-26,860.0,2,185
12,superflat_346nm_blue_2015-11-26_2016-03-03.fits,28,2015-11-26,2016-03-03,346.0,3,175
13,superflat_437nm_blue_2015-11-26_2016-03-03.fits,53,2015-11-26,2016-03-03,437.0,3,265
14,superflat_564nm_redl_2015-11-26_2016-03-03.fits,31,2015-11-26,2016-03-03,564.0,3,185
15,superflat_564nm_redu_2015-11-26_2016-03-03.fits,31,2015-11-26,2016-03-03,564.0,3,185
16,superflat_860nm_redu_2015-11-26_2016-03-03.fits,28,2015-11-26,2016-03-03,860.0,3,170
17,superflat_860nm_redl_2015-11-26_2016-03-03.fits,28,2015-11-26,2016-03-03,860.0,3,170
18,superflat_346nm_blue_2016-03-03_2017-01-24.fits,34,2016-03-03,2017-01-24,346.0,4,185
19,superflat_437nm_blue_2016-03-03_2017-01-24.fits,37,2016-03-03,2017-01-24,437.0,4,195
20,superflat_564nm_redl_2016-03-03_2017-01-24.fits,37,2016-03-03,2017-01-24,564.0,4,210
21,superflat_564nm_redu_2016-03-03_2017-01-24.fits,37,2016-03-03,2017-01-24,564.0,4,210
22,superflat_860nm_redu_2016-03-03_2017-01-24.fits,32,2016-03-03,2017-01-24,860.0,4,175
23,superflat_860nm_redl_2016-03-03_2017-01-24.fits,32,2016-03-03,2017-01-24,860.0,4,175
24,superflat_346nm_blue_2017-01-24_2018-01-22.fits,30,2017-01-24,2018-01-22,346.0,5,150
25,superflat_437nm_blue_2017-01-24_2018-01-22.fits,35,2017-01-24,2018-01-22,437.0,5,175
26,superflat_564nm_redl_2017-01-24_2018-01-22.fits,28,2017-01-24,2018-01-22,564.0,5,140
27,superflat_564nm_redu_2017-01-24_2018-01-22.fits,28,2017-01-24,2018-01-22,564.0,5,140
28,superflat_860nm_redu_2017-01-24_2018-01-22.fits,33,2017-01-24,2018-01-22,860.0,5,175
29,superflat_860nm_redl_2017-01-24_2018-01-22.fits,33,2017-01-24,2018-01-22,860.0,5,175
30,superflat_346nm_blue_2018-01-22_2018-12-03.fits,22,2018-01-22,2018-12-03,346.0,6,120
31,superflat_437nm_blue_2018-01-22_2018-12-03.fits,24,2018-01-22,2018-12-03,437.0,6,145
32,superflat_564nm_redl_2018-01-22_2018-12-03.fits,24,2018-01-22,2018-12-03,564.0,6,145
33,superflat_564nm_redu_2018-01-22_2018-12-03.fits,24,2018-01-22,2018-12-03,564.0,6,145
34,superflat_860nm_redu_2018-01-22_2018-12-03.fits,20,2018-01-22,2018-12-03,860.0,6,110
35,superflat_860nm_redl_2018-01-22_2018-12-03.fits,20,2018-01-22,2018-12-03,860.0,6,110
36,superflat_346nm_blue_2018-12-03_2019-12-29.fits,14,2018-12-03,2019-12-29,346.0,7,430
37,superflat_437nm_blue_2018-12-03_2019-12-29.fits,60,2018-12-03,2019-12-29,437.0,7,300
38,superflat_564nm_redl_2018-12-03_2019-12-29.fits,21,2018-12-03,2019-12-29,564.0,7,180
39,superflat_564nm_redu_2018-12-03_2019-12-29.fits,21,2018-12-03,2019-12-29,564.0,7,180
40,superflat_860nm_redu_2018-12-03_2019-12-29.fits,40,2018-12-03,2019-12-29,860.0,7,245
41,superflat_860nm_redl_2018-12-03_2019-12-29.fits,40,2018-12-03,2019-12-29,860.0,7,245
